Names	total	elements
		CNOT4
		PAFAH1B1
		LPGAT1
		ACBD5
		PTHLH
		SH3GLB1
		URI1
		SPOPL
		MAGI3
		ZFAND4
		NPAT
		NRP2
		NACC2
		EPHA5
		CCNG2
		ARL4C
		TANC1
		MYO10
		MAPK9
		TENM1
		AFF4
		MAP3K8
		STC1
		EFCAB14
		VLDLR
		REV3L
		ARHGEF3
		SPRED1
		OXR1
		ZNF217
		DPH6
		KLF12
		PKNOX1
		TMED5
		DOK6
		GABPB1
		HYDIN
		SNTB2
		PBX3
		KANSL1L
		UBE2D1
		SESN3
		ZNF597
		BCL2L11
		GPR137C
		USP31
		PLCB1
		FMNL3
		CEP97
		NIN
		ABI1
		PLAG1
		SCN2A
		TSHZ3
		FNDC3A
		ANKRD50
		IQSEC1
		ZNF367
		TMCC1
		PAK5
		BICC1
		PAX8
		WNK3
		FGFR1OP
		RAB30
		MPDZ
		REL
		GXYLT1
		CRK
		ZNF800
		VANGL1
		PPP1R1C
		SSX2IP
		RRAGD
		RLIM
		ARID4B
		EIF4G2
		RNF13
		RASGRF2
		NANOS1
		GAB1
		TAOK1
		PHTF2
		APP
		SMAD5
		CNOT6L
hsa-miR-106-5p.txt hsa-miR-758-3p.txt	48	NHLRC3
		HOOK3
		PRR27
		PRRG1
		HLF
		UTP14C
		TIAM1
		ZFPM2
		ASB1
		C6orf120
		FAM13A
		TFAM
		SLC12A3
		ANKH
		TCEAL7
		MYT1L
		COL4A1
		CHIC1
		SPSB4
		DGKE
		ADAMTSL5
		PUDP
		FZD3
		PDCD1LG2
		CYBRD1
		EEA1
		TRIM36
		HMGB3
		PKD2
		CSDE1
		E2F5
		SLC24A2
		AFG1L
		CREB5
		UHRF1BP1
		PGP
		VEZF1
		DCUN1D1
		CMPK1
		IL6ST
		FGD1
		MINDY2
		C2CD2
		SEMA5A
		WWP2
		CBX5
		TADA2B
		C2CD4A
hsa-miR-144-3p.txt hsa-miR-758-3p.txt	50	ACBD3
		MEIS2
		KDM6A
		KLHL7
		BDP1
		TCFL5
		ITGA6
		HIPK3
		GNA13
		ADAMTS17
		ZC3H14
		DIPK2A
		KDM7A
		TRDMT1
		YTHDF2
		GRIK3
		ZNF507
		LRRC1
		FLRT3
		NAV3
		ZMYM2
		NDRG4
		BICRA
		BACH2
		HNRNPU
		C5orf15
		RUNX1
		KLF6
		MORC3
		CWC27
		CXorf40A
		NEUROD1
		CDH6
		CREBZF
		TFRC
		FBN1
		PRRC1
		ELOC
		SLC4A10
		ZNF618
		SOCS7
		PGRMC1
		CHM
		MBNL1
		FUT9
		ZEB2
		CDK19
		ZFHX3
		MAP2K1
		PITPNB
hsa-miR-33a-5p.txt	1	Sep-07
hsa-miR-33b-5p.txt	3	SEPSECS
		sept-07
		KIF3C
hsa-miR-106-5p.txt	1050	MMP2
		CMTR2
		FIBIN
		RPL17-C18orf32
		APBB2
		COX7A2L
		PFKP
		AEN
		KLHL2
		U2SURP
		PXYLP1
		CYP39A1
		KIRREL1
		TPRG1L
		CENPQ
		DDX5
		FNBP1L
		SLC33A1
		TMCC3
		CHD9
		PAPOLA
		SLC4A8
		NR4A2
		IPO9
		SRPK1
		SORL1
		C15orf41
		RPS6KA5
		ATG2B
		LHFPL2
		DIP2A
		PCDHAC1
		TAOK3
		RUNX3
		LUZP1
		CNN1
		SNX16
		PPP1R15B
		FOXK2
		MAP3K20
		PDCD4
		RHOC
		PRR16
		SPATA1
		PCDHA13
		MFSD8
		PGBD5
		GUCY1A1
		ISM1
		HECTD2
		FBXO11
		FBXO31
		NR2E3
		TPM3
		KLHL36
		RNF217
		BTN3A1
		LAMP3
		ZNF25
		PLXNA1
		YWHAQ
		PPM1A
		HESX1
		WDFY2
		RACGAP1
		PXDN
		TBC1D17
		NPM1
