Names	total	elements
		 I T G B 8  
		 A N K R D 1 7  
		 E P H A 5  
		 S A M D 1 2  
		 S M A D 5  
		 U S P 4 7  
		 T S H Z 3  
		 H E G 1  
TargetScan8.0__miR-106-5p.txt TargetScan8.0__miR-758-3p.txt	35	 

		 F A S T K  
		 B A M B I  
		 T C F 7 L 1  
		 C E N P O  
		 R Y B P  
		 I L 6 S T  
		 D N A J C 2 8  
		 S L C 3 8 A 1  
		 R B M S 2  
		 E E A 1  
		 R N F 1 5 0  
		 R A B E P 1  
		 C A C U L 1  
		 E I F 5 B  
		 M X D 1  
		 H L F  
		 J O S D 1  
		 E R M P 1  
		 H M G B 3  
		 R E P S 2  
		 G T D C 1  
		 S Y N M  
		 F R R S 1 L  
		 F G D 1  
		 P G P  
		 Z F P 9 1  
		 W A C  
		 F A M 1 3 A  
		 C S N K 1 G 1  
		 G A D 2  
		 P L X D C 2  
		 T R I P 1 1  
		 M A P 7  
		 C 6 o r f 1 2 0  
		 Z A D H 2  
TargetScan8.0__miR-144-3p.txt TargetScan8.0__miR-758-3p.txt	29	 

		 A N T X R 2  
		 X Y L T 1  
		 T C E B 1  
		 S R S F 1 0  
		 C D K 1 9  
		 K D M 6 A  
		 A D A M T S 1 7  
		 A H C Y  
		 A N G P T L 3  
		 P D E 7 B  
		 F L I 1  
		 N P N T  
		 C A D M 1  
		 T F R C  
		 H I P K 3  
		 P U M 2  
		 G L T S C R 1  
		 F B N 1  
		 S T R N 3  
		 D A C T 3  
		 H N R N P U  
		 I D H 2  
		 Z B T B 3 8  
		 Z F H X 3  
		 D U S P 1  
		 G R I K 3  
		 G D E 1  
		 U S P 6 N L  
		 S V 2 C  
TargetScan8.0__miR-33a-5p.txt	1	ÿþj  
TargetScan8.0__miR-33b-5p.txt	1	ÿþk  
TargetScan8.0__miR-106-5p.txt	1008	 

		 M P D Z  
		 Z N F 2 0 2  
		 S E M A 5 A  
		 H A U S 8  
		 C D C 3 7 L 1  
		 F A M 1 7 7 A 1  
		ÿþl  
		 N E K 1 0  
		 C C D C 5 0  
		 A P 3 D 1  
		 F S D 1 L  
		 F B X O 1 0  
		 C H D 2  
		 S Y N E 1  
		 C N N M 2  
		 S Q S T M 1  
		 G A N  
		 T I P A R P  
		 N K I R A S 1  
		 S L C 9 A 2  
		 P D P R  
		 M A R C H 4  
		 P R K A C B  
		 A C I N 1  
		 A T G 1 6 L 1  
		 I T F G 1  
		 M Y N N  
		 E D A 2 R  
		 P A L L D  
		 S L C 4 A 7  
		 C A S P 9  
		 N H L R C 3  
		 S L C 7 A 2  
		 L A M P 5  
		 A R H G E F 7  
		 A K A P 1 3  
		 M A S T L  
		 H N 1  
		 M K L N 1  
		 R A B 8 B  
		 P P P 6 R 3  
		 G R H L 2  
		 G I N M 1  
		 G P R 6 3  
		 G A T A D 2 B  
		 S L A I N 2  
		 G G C X  
		 F C H O 2  
		 T U S C 2  
		 E R E G  
		 C R Y 2  
		 F O X J 2  
		 H B P 1  
		 Z B T B 9  
		 C H R M 2  
		 S T K 1 1  
		 Z N F 2 3 6  
		 F A M 8 3 F  
		 C D 2 7 4  
		 U T S 2 B  
		 N K X 6 - 1  
		 F N B P 4  
		 M T E R F D 2  
		 Z B T B 3 3  
		 E P G N  
		 F A M 1 8 9 A 1  
		 T G F B 1 I 1  
		 N K X 3 - 2  
		 T E T 1  
		 R N F 4  
		 C 9 o r f 6 4  
		 Z B T B 4 7  
		 N A V 2  
		 E L K 3  
		 S G T B  
		 T G O L N 2  
		 B R M S 1 L  
		 F R M D 4 A  
		 P R R 1 6  
		 Z N F 2  
		 R B M 2 0  
		 Z B T B 6  
		 M A P R E 3  
		 T N F R S F 2 1  
		 C A P R I N 2  
		 Y P E L 2  
		 C C 2 D 1 A  
		 R N D 3  
		 M A R C H 1  
		 Z S C A N 2 5  
		 A K A P 1 1  
		 A R L 4 A  
		 T N S 1  
		 C O L 4 A 3  
		 P H F 1  
		 M F A P 3 L  
		 F B X O 2 1  
		 V A S H 2  
		 C 1 6 o r f 5 2  
		 S L C 6 A 9  
		 S A R 1 B  
		 T M E M 2 4 5  
		 S L C 3 9 A 6  
		 T S K U  
		 I C M T  
		 S L C 2 A 4  
		 R A P G E F L 1  
		 B R D 4  
		 E G L N 1  
		 C A P N 1 5  
		 D N A J C 1 6  
		 R U N D C 1  
		 G D A  
		 P T C H D 1  
		 G 3 B P 1  
		 N C O R 1  
		 E F N B 1  
		 R B 1 C C 1  
		 E N P P 5  
		 P D S 5 A  
		 F A M 8 4 B  
		 S R G A P 3  
		 C O Q 2  
		 S I P A 1 L 3  
		 F N D C 3 B  
		 Z N F 7 4  
		 L I N 5 2  
		 R A S S F 3  
		 M S M O 1  
		 T W F 1  
		 C N N 1  
		 Z N F 5 1 2 B  
		 A N K F Y 1  
		 P F K P  
		 S T 3 G A L 1  
		 P P P 2 C A  
		 A R I D 4 A  
		 I P M K  
		 N R 2 C 2  
		 H A B P 4  
		 S L C 3 9 A 9  
		 S R I  
		 S T 6 G A L N A C 6  
		 A A K 1  
		 S K O R 1  
		 I R F 2 B P 2  
		 T T P A L  
		 P A F 1  
		 M A R C H 6  
		 R N F 2  
		 O R M D L 3  
		 T T C 3 9 C  
		 S C A M P 2  
		 S E P T 2  
		 I S M 2  
		 R A S L 1 1 B  
		 C C D C 7 1 L  
		 O T U D 1  
		 C E P 1 2 8  
		 V A V 2  
		 L R P 1 B  
		 D M R T A 2  
		 A L 1 6 3 6 3 6 . 6  
		 T S R 1  
		 A N K I B 1  
		 F M N L 3  
		 C C S E R 2  
		 D Y N C 1 L I 2  
		 C 1 6 o r f 7 0  
		 Y O D 1  
		 I L 2 5  
		 I R F 1  
		 A K T 3  
		 R P A 2  
		 C 7 o r f 4 3  
		 C R Y B G 3  
		 C D C A 7  
		 A S X L 3  
		 S L C 3 0 A 3  
		 L 3 M B T L 3  
		 T O L L I P  
		 K I A A 2 0 1 8  
		 C H I C 1  
		 C H A F 1 A  
		 A B I 1  
		 A K A P 9  
		 I P O 9  
		 F G D 5  
		 G P R 3 7 L 1  
		 M A P K 1 I P 1 L  
		 P R E X 1  
		 A N K R D 3 3 B  
		 A C A P 2  
		 U S P 2 8  
		 H O X A 2  
		 C 1 o r f 6 3  
		 F O X J 3  
		 S C A M P 5  
		 Z D H H C 1  
		 T X N I P  
		 D I E X F  
		 M E T A P 1  
		 T I M P 2  
		 S T K 3 8  
		 P P P 1 R 1 5 B  
		 C R I P T  
		 S C N 2 B  
		 D U S P 8  
		 U G D H  
		 N R 4 A 3  
		 T B C 1 D 8 B  
		 E Z H 1  
		 P S M B 5  
		 Z B T B 4 1  
		 S L C 5 A 3  
		 R A S D 1  
		 S L C 1 6 A 9  
		 D G K Q  
		 A G F G 2  
