Names	total	elements
		 H T R A 3  
		 A R P P 2 1  
		 C R I S P L D 1  
		 H D G F R P 3  
		 V K O R C 1 L 1  
		 C E B P A  
		 C A L B 1  
		 A R H G A P 1 8  
		 K C N K 1 2  
		 S P R Y 3  
		 Z F A N D 3  
		 C A M K K 2  
		 B E A N 1  
		 C H T O P  
		 F A X C  
		 K I A A 1 2 1 7  
		 R A N B P 9  
		 S E P H S 1  
		 P P P 1 R 1 6 B  
		 S T A U 1  
		 N R 2 F 2  
		 K C T D 1 2  
		 N O L 7  
		 K L F 8  
		 H O X A 7  
		 G K 5  
		 P O D X L  
		 C A N D 1  
		 T O P 1  
		 E R N 1  
		 N T 5 D C 1  
		 I F F O 2  
		 C 1 2 o r f 5  
		 G S K 3 B  
		 K C N N 3  
		 S O G A 2  
		 A B H D 1 7 C  
		 D A Z 2  
		 S L I T R K 4  
		 H E Y 2  
		 D P P 8  
		 L O N R F 3  
		 S O X 1 1  
		 A L C A M  
		 C Y T H 3  
		 C 1 9 o r f 7 3  
		 A R I D 2  
		 G A B P A  
		 F N 1  
		 F B X O 3 2  
TargetScan8.0__miR-758-3p.txt	157	 

		 S P A T A 1 7  
		 I L K  
		 M O B 3 B  
		 N T 5 C 1 A  
		 S E C 1 6 B  
		 C T D - 2 0 5 4 N 2 4 . 2  
		 F B X L 7  
		 P P P 2 R 2 C  
		 P A X 6  
		 B Z R A P 1  
		 N U P 3 7  
		 V M P 1  
		 C A S P 3  
		 A 1 C F  
		 C 1 o r f 1 9 8  
		 D S T N  
		 C U X 2  
		 P L C L 1  
		 C C D C 7 9  
		 C D K 1 3  
		 N A A 4 0  
		 N O T C H 2  
		 M A D 2 L 1  
		 P G M 3  
		 T B X 4  
		 B 3 G N T 9  
		 Z N F 7 7 2  
		 B M P 7  
		 F B R S L 1  
		 D D X 1 9 B  
		 P G P E P 1  
		 L Y R M 2  
		 A N G  
		 A P 3 S 2  
		 C 9 o r f 3 8  
		 Y I P F 4  
		 R H O Q  
		 S U R F 2  
		 M A P 4 K 3  
		 D C D C 2 B  
		 M I P O L 1  
		 Z N F 6 1 3  
		 P S T P I P 1  
		 Z N F 6 0 9  
		 R W D D 4  
		 H M G A 1  
		 S T X B P 1  
		 F T S J 3  
		 G J A 9  
		 I N A D L  
		 S N X 1 1 
		 G P R 6 1  
		 G F A P  
		 T C E A N C  
		 M I A 3  
		 S L C 2 5 A 1 6  
		 A R H G A P 3 6  
		 R E L N  
		 G S T O 2  
		 N S U N 3  
		 S U N 2  
		 S T A T 5 B  
		 C E N P P  
		 A R M C 1 0  
		 A B H D 1 0  
		 C C N G 1  
		 C 1 5 o r f 3 8 - A P 3 S 2  
		 T F A M  
		 M Y H 9  
		 K I F 2 4  
		 A C 1 3 8 6 5 5 . 1  
		 M C M D C 2  
		 C N T D 1  
		 S E P T 8  
		 N F E 2 L 3  
		 S H 2 D 7  
		 L I N 7 A  
		 S L C 1 4 A 1  
		 P H F 1 5  
		 D A R S 2  
		 H M C E S  
		 C N N M 4  
		 S R R M 4  
		 S T 6 G A L 2  
		 U T P 1 4 C  
		 S L C 4 6 A 1  
		 P R K A R 2 B  
		 V I L 1  
		 S U C N R 1  
		 M E P E  
		 R B F O X 3  
		 K B T B D 1 3  
		 E A F 1  
		 R A B 7 L 1  
		 U S P 1 5  
		 E T V 6  
		 G O L P H 3  
		 T M E M 2 2 9 B  
		 C O L 4 A 4  
		 C 3 o r f 1 4  
		 O T X 1  
		 P G R M C 1  
		 S L C 1 2 A 3  
		 C 5 o r f 1 5  
		 V E Z F 1  
		ÿþi  
		 A L 6 2 7 1 7 1 . 2  
		 C A L C R  
		 T P 5 3 I 1 1  
		 L U R A P 1  
		 C 2 o r f 9 1  
		 F A M 1 2 6 A  
		 C 1 G A L T 1  
		 S P R Y 1  
		 O S B P L 1 0  
		 A Q P E P  
		 C B X 5  
		 P P A P 2 B  
		 S Y N G R 2  
		 C A M K 1 D  
		 R A D 5 1  
		 H S P A 4 L  
		 W D R 3 1  
		 E N T P D 7  
		 H I C 2  
		 K C N V 1  
		 C I R H 1 A  
		 M R P L 3  
		 W D R 4 1  
		 M A P 2 K 1  
		 P P P 1 R 7  
		 E N P P 6  
		 N O C 3 L  
		 X P O 4  
		 S T K 4 0  
		 C 1 o r f 2 1  
		 C D H R 2  
		 N O P 2  
		 F B X L 2 0  
		 T A B 1  
		 S P T L C 2  
		 M Y C B P  
		 K H S R P  
		 L R I T 3  
		 I A H 1  
		 V A P B  
		 C Y P 7 B 1  
		 H N R N P A 0  
		 Z R S R 1  
		 F G F B P 3  
		 T M P P E  
		 W W C 1  
		 P I K 3 C A  
		 F A M 1 6 1 A  
		 A N G P T 2  
		 T V P 2 3 A  
		 Z C 3 H 1 4  
